id,is_entire_condo,is_entire_rental_unit,is_entire_home,is_room_in_hotel,is_entire_serviced_apartment,is_entire_townhouse,room_type,accommodates,beds,bedrooms,bathrooms,host_years,host_is_superhost,host_listings_count,calculated_host_listings_count,calculated_host_listings_count_entire_homes,host_response_time,host_response_rate,host_acceptance_rate,host_has_profile_pic,neighbourhood_group,neighbourhood,latitude,longitude,availability_365,availability_30,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,instant_bookable,price,has_license,has_air_conditioning,has_hot_water,has_kitchen,has_gym,has_wifi,has_hair_dryer,has_microwave,has_refrigerator,has_pool,has_washer,review_scores_rating_missing,review_scores_cleanliness_missing,review_scores_location_missing,review_scores_communication_missing,host_response_rate_missing,host_acceptance_rate_missing,reviews_per_month_missing,drive_dist_hnl_km,drive_time_hnl_min,drive_dist_wk_km,drive_time_wk_min
924008149533927084,True,False,False,False,False,False,Entire home/apt,4.0,2.0,1.0,1.0,9.530458590006845,False,150.0,134,134.0,within a few hours,1.0,0.92,True,Honolulu,Primary Urban Center,21.283187485717914,-157.8381223158716,286,17.0,1,1125.0,2.0,980.6,3,0,0.0,0.12,5.0,5.0,5.0,5.0,False,188.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0,23.7,36.4,0.9,4.8
924123945398869340,False,False,False,True,False,False,Private room,4.0,2.0,1.0,1.0,2.4421629021218343,False,1.0,1,0.0,within an hour,1.0,0.25,True,Honolulu,Primary Urban Center,21.278654,-157.8312236,299,0.0,6,7.0,6.0,7.0,3,3,0.0,0.28,5.0,4.67,5.0,5.0,False,185.0,True,True,False,True,True,True,False,False,False,True,False,0,0,0,0,0,0,0,24.8,40.9,1.0,4.7
924143963819392758,False,False,False,False,False,False,Private room,1.0,1.0,2.0,1.0,12.375085557837098,True,3.0,1,0.0,within an hour,1.0,0.4,True,Honolulu,Primary Urban Center,21.297321742602627,-157.85374586854994,190,23.0,29,365.0,29.0,365.0,7,3,0.0,0.35,5.0,4.86,5.0,5.0,False,74.0,False,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,20.9,30.6,3.2,11.1
924216345548566898,False,True,False,False,False,False,Entire home/apt,8.0,4.0,2.0,2.0,2.6666666666666665,False,22.0,22,22.0,within a few hours,0.9,0.97,True,Honolulu,Primary Urban Center,21.281198254831,-157.82676565444063,190,7.0,1,29.0,1.0,1125.0,14,6,1.0,0.58,4.29,4.29,4.93,4.93,False,227.0,True,True,True,True,True,True,True,False,True,True,False,0,0,0,0,0,0,0,25.7,33.6,2.0,7.8
918356444989273552,True,False,False,False,False,False,Entire home/apt,4.0,2.0,1.0,1.0,10.28062970568104,True,121.0,119,119.0,within an hour,1.0,1.0,True,Honolulu,Primary Urban Center,21.2747247,-157.820931,310,14.0,1,365.0,1.9,365.0,29,12,0.0,1.09,4.97,4.83,4.86,4.86,True,187.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0,26.7,35.6,3.0,9.8
918429033067078232,False,False,False,True,False,False,Private room,2.0,1.0,1.0,1.0,3.6331279945242985,False,12.0,12,4.0,within an hour,1.0,0.98,True,Honolulu,Primary Urban Center,21.27593024916635,-157.822749530036,71,15.0,2,365.0,2.0,365.0,15,7,2.0,0.57,4.8,4.93,4.93,4.93,False,75.0,True,True,True,True,True,True,False,True,True,True,False,0,0,0,0,0,0,0,27.9,34.8,2.8,10.1
918466973678456996,True,False,False,False,False,False,Entire home/apt,4.0,2.0,0.0,1.0,5.300479123887748,False,31.0,31,31.0,within an hour,1.0,0.88,True,Honolulu,Primary Urban Center,21.276927,-157.823993,348,26.0,1,365.0,1.0,169.5,9,3,1.0,0.36,4.22,3.44,4.56,4.44,True,126.0,True,True,False,True,False,True,True,True,True,True,False,0,0,0,0,0,0,0,28.0,35.4,2.6,9.2
918580560693612639,False,True,False,False,False,False,Entire home/apt,8.0,6.0,2.0,2.0,6.751540041067762,False,50.0,29,28.0,within an hour,1.0,0.99,True,Honolulu,Primary Urban Center,21.2864,-157.83373,249,30.0,2,365.0,2.2,365.0,52,26,0.0,2.03,4.75,4.67,4.85,4.94,True,375.0,True,True,True,True,True,True,False,False,True,True,True,0,0,0,0,0,0,0,24.1,33.0,0.9,5.2
918781219595124568,False,True,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,4.123203285420945,True,358.0,111,111.0,within a few hours,0.99,0.1,True,Honolulu,Primary Urban Center,21.28346574102555,-157.82937710851323,71,30.0,2,365.0,2.0,365.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,178.0,True,True,True,False,True,True,True,False,False,True,False,1,1,1,1,0,0,1,25.2,32.2,1.6,6.4
918900341730578381,False,True,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,11.299110198494182,False,15.0,14,14.0,missing,0.0,0.0,True,Honolulu,Primary Urban Center,21.28605,-157.83208,228,11.0,2,365.0,2.0,365.0,67,29,1.0,2.75,4.87,4.85,4.84,4.97,True,102.0,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,1,1,0,24.9,31.6,1.2,5.8
919034441309589751,False,True,False,False,False,False,Entire home/apt,5.0,3.0,2.0,1.0,5.0978781656399725,False,2.0,1,1.0,within a few hours,1.0,1.0,True,Honolulu,Waianae,21.4809011,-158.2048343,238,0.0,30,365.0,30.0,365.0,6,3,1.0,0.31,5.0,4.83,4.83,5.0,False,98.0,False,True,True,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0,58.8,59.4,61.8,63.2
919091691750107710,False,True,False,False,False,False,Entire home/apt,2.0,1.0,1.0,1.0,11.208761122518824,False,1.0,1,1.0,missing,0.0,0.0,True,Honolulu,Ewa,21.36081,-158.04605,364,29.0,30,365.0,30.0,365.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,182.0,False,True,False,True,False,True,False,False,False,True,True,1,1,1,1,1,0,1,31.7,30.9,35.6,38.2
919241770753905916,False,True,False,False,False,False,Entire home/apt,6.0,3.0,2.0,2.0,6.751540041067762,False,50.0,29,28.0,within an hour,1.0,0.99,True,Honolulu,Primary Urban Center,21.28782911716924,-157.83328103368743,297,3.0,2,365.0,2.2,365.0,42,15,0.0,1.74,4.57,4.67,4.79,4.83,True,181.0,True,True,True,True,True,True,True,True,True,True,False,0,0,0,0,0,0,0,24.2,38.0,1.0,5.0
919256041715831216,False,True,False,False,False,False,Entire home/apt,4.0,2.0,1.0,1.0,6.751540041067762,False,50.0,29,28.0,within an hour,1.0,0.99,True,Honolulu,Primary Urban Center,21.28799158859131,-157.8331205251981,303,4.0,2,365.0,2.2,365.0,15,5,0.0,0.67,4.67,4.8,4.73,4.87,True,90.0,True,True,True,True,True,True,True,True,True,True,False,0,0,0,0,0,0,0,24.0,31.6,1.2,5.2
919285633111928242,True,False,False,False,False,False,Entire home/apt,2.0,1.0,1.0,1.0,6.751540041067762,False,50.0,29,28.0,within an hour,1.0,0.99,True,Honolulu,Primary Urban Center,21.28595,-157.83316,305,6.0,2,365.0,2.2,365.0,16,8,1.0,0.68,4.81,4.94,4.88,4.94,True,90.0,True,True,True,True,True,True,True,True,True,True,False,0,0,0,0,0,0,0,24.0,37.2,0.8,4.2
919639059927450408,False,False,False,True,False,False,Private room,8.0,4.0,2.0,2.0,14.28062970568104,True,4.0,1,0.0,within a day,1.0,0.67,True,Honolulu,Ewa,21.331143883463792,-158.12210953625927,49,0.0,5,10.0,5.0,10.0,2,0,0.0,0.11,5.0,4.5,5.0,4.5,False,958.0,True,True,True,True,True,True,True,False,False,True,True,0,0,0,0,0,0,0,41.6,40.1,45.5,47.3
920279737839233615,False,True,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,3.997262149212868,True,330.0,65,65.0,within a few hours,0.97,0.07,True,Honolulu,Primary Urban Center,21.28402,-157.82891,72,30.0,2,365.0,2.0,365.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,207.0,True,True,True,False,True,True,True,False,False,True,True,1,1,1,1,0,0,1,25.2,32.2,1.5,6.4
920294039798370147,True,False,False,False,False,False,Entire home/apt,6.0,4.0,2.0,2.0,9.267624914442164,False,148.0,36,36.0,within an hour,1.0,1.0,True,Honolulu,Primary Urban Center,21.284142,-157.838638,274,3.0,1,1125.0,2.9,1125.0,38,11,1.0,1.46,4.42,4.53,4.87,4.87,True,254.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0,23.8,36.5,0.9,5.0
920479634456388767,False,False,False,False,True,False,Entire home/apt,4.0,2.0,1.0,1.0,3.701574264202601,False,249.0,219,219.0,within an hour,1.0,1.0,True,Honolulu,Primary Urban Center,21.28068,-157.832,203,15.0,2,365.0,2.0,99.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,188.0,True,True,True,True,False,True,True,True,True,False,True,1,1,1,1,0,0,1,24.7,40.2,0.9,4.0
920482337712086539,False,True,False,False,False,False,Entire home/apt,3.0,1.0,0.0,1.0,10.18754277891855,False,65.0,38,38.0,within an hour,1.0,1.0,True,Honolulu,Primary Urban Center,21.29016,-157.83956,133,10.0,1,365.0,1.0,365.0,72,32,1.0,2.7,4.79,4.65,4.92,4.89,False,170.0,True,True,True,False,False,True,True,False,True,True,False,0,0,0,0,0,0,0,23.2,33.4,1.7,7.4
